n = 8  tau_r =  1  (158 s, 24 pairs x 300 instances)
n = 8  tau_r =  2  (198 s, 24 pairs x 300 instances)
n = 8  tau_r =  4  (202 s, 24 pairs x 300 instances)
n = 8  tau_r =  8  (215 s, 24 pairs x 300 instances)
n = 8  tau_r = 16  (228 s, 24 pairs x 300 instances)
n = 10  tau_r =  1  (365 s, 24 pairs x 300 instances)
n = 10  tau_r =  2  (344 s, 24 pairs x 300 instances)
n = 10  tau_r =  4  (348 s, 24 pairs x 300 instances)
n = 10  tau_r = 10  (362 s, 24 pairs x 300 instances)
n = 10  tau_r = 20  (384 s, 24 pairs x 300 instances)

  n  tau base    kind     t       F     Corr     deep   excess     se
  8    1    0  global  0.05  0.8966  +0.9151  +0.8962  +0.0189  0.009
  8    1    0  global  0.12  0.5422  +0.6459  +0.5404  +0.1055  0.034
  8    1    0  global  0.25  0.0905  +0.2679  +0.0870  +0.1809  0.054
  8    1    0  global  0.50  0.0033  +0.0454  -0.0006  +0.0459  0.058
  8    1    0    gate  0.05  0.9904  +0.9858  +0.9903  -0.0045  0.002
  8    1    0    gate  0.12  0.9460  +0.9274  +0.9457  -0.0183  0.008
  8    1    0    gate  0.25  0.7875  +0.7705  +0.7867  -0.0162  0.023
  8    1    0    gate  0.50  0.3908  +0.5080  +0.3884  +0.1196  0.043
  8    1    0   layer  0.05  0.9805  +0.9776  +0.9804  -0.0028  0.003
  8    1    0   layer  0.12  0.8931  +0.8838  +0.8927  -0.0088  0.013
  8    1    0   layer  0.25  0.6189  +0.6397  +0.6174  +0.0222  0.034
  8    1    0   layer  0.50  0.1864  +0.3035  +0.1832  +0.1203  0.052
  8    1    1  global  0.05  0.8701  +0.9139  +0.8696  +0.0442  0.010
  8    1    1  global  0.12  0.4457  +0.7091  +0.4435  +0.2656  0.029
  8    1    1  global  0.25  0.0346  +0.1651  +0.0308  +0.1342  0.056
  8    1    1  global  0.50  0.0082  -0.0277  +0.0043  -0.0320  0.058
  8    1    1    gate  0.05  0.9882  +0.9925  +0.9881  +0.0043  0.001
  8    1    1    gate  0.12  0.9316  +0.9616  +0.9313  +0.0304  0.004
  8    1    1    gate  0.25  0.7208  +0.8792  +0.7197  +0.1594  0.013
  8    1    1    gate  0.50  0.2221  +0.7366  +0.2190  +0.5176  0.026
  8    1    1   layer  0.05  0.9699  +0.9831  +0.9698  +0.0133  0.002
  8    1    1   layer  0.12  0.8376  +0.9160  +0.8369  +0.0790  0.009
  8    1    1   layer  0.25  0.4538  +0.6801  +0.4517  +0.2284  0.031
  8    1    1   layer  0.50  0.0250  +0.0590  +0.0211  +0.0378  0.058
  8    2    0  global  0.05  0.8687  +0.8711  +0.8682  +0.0029  0.014
  8    2    0  global  0.12  0.4146  +0.3967  +0.4123  -0.0156  0.049
  8    2    0  global  0.25  0.0039  +0.0130  +0.0000  +0.0130  0.058
  8    2    0  global  0.50  0.0031  -0.0184  -0.0008  -0.0176  0.058
  8    2    0    gate  0.05  0.9863  +0.9884  +0.9862  +0.0021  0.001
  8    2    0    gate  0.12  0.9235  +0.9362  +0.9232  +0.0130  0.007
  8    2    0    gate  0.25  0.7048  +0.7577  +0.7036  +0.0541  0.025
  8    2    0    gate  0.50  0.2224  +0.3343  +0.2194  +0.1149  0.051
  8    2    0   layer  0.05  0.9653  +0.9657  +0.9652  +0.0005  0.004
  8    2    0   layer  0.12  0.8175  +0.7992  +0.8167  -0.0176  0.021
  8    2    0   layer  0.25  0.4219  +0.3663  +0.4196  -0.0533  0.050
  8    2    0   layer  0.50  0.0334  +0.0913  +0.0297  +0.0617  0.057
  8    2    1  global  0.05  0.9238  +0.9293  +0.9235  +0.0058  0.008
  8    2    1  global  0.12  0.6340  +0.6427  +0.6326  +0.0101  0.034
  8    2    1  global  0.25  0.1580  +0.1242  +0.1547  -0.0305  0.057
  8    2    1  global  0.50  0.0122  +0.0576  +0.0083  +0.0493  0.058
  8    2    1    gate  0.05  0.9917  +0.9933  +0.9917  +0.0016  0.001
  8    2    1    gate  0.12  0.9506  +0.9562  +0.9504  +0.0058  0.005
  8    2    1    gate  0.25  0.7820  +0.7765  +0.7811  -0.0046  0.023
  8    2    1    gate  0.50  0.2886  +0.2878  +0.2858  +0.0020  0.053
  8    2    1   layer  0.05  0.9734  +0.9808  +0.9733  +0.0075  0.002
  8    2    1   layer  0.12  0.8559  +0.8845  +0.8554  +0.0292  0.013
  8    2    1   layer  0.25  0.5047  +0.5589  +0.5028  +0.0561  0.040
  8    2    1   layer  0.50  0.0487  +0.1140  +0.0450  +0.0690  0.057
  8    4    0  global  0.05  0.8615  +0.8971  +0.8610  +0.0361  0.011
  8    4    0  global  0.12  0.4332  +0.5019  +0.4310  +0.0709  0.043
  8    4    0  global  0.25  0.0387  +0.0061  +0.0349  -0.0288  0.058
  8    4    0  global  0.50  0.0011  -0.0459  -0.0028  -0.0430  0.058
  8    4    0    gate  0.05  0.9950  +0.9970  +0.9949  +0.0020  0.000
  8    4    0    gate  0.12  0.9728  +0.9832  +0.9727  +0.0106  0.002
  8    4    0    gate  0.25  0.8971  +0.9342  +0.8967  +0.0375  0.007
  8    4    0    gate  0.50  0.6658  +0.7932  +0.6645  +0.1287  0.021
  8    4    0   layer  0.05  0.9571  +0.9706  +0.9569  +0.0137  0.003
  8    4    0   layer  0.12  0.7722  +0.8327  +0.7713  +0.0613  0.018
  8    4    0   layer  0.25  0.3084  +0.4132  +0.3057  +0.1075  0.048
  8    4    0   layer  0.50  0.0029  +0.0915  -0.0011  +0.0925  0.057
  8    4    1  global  0.05  0.9139  +0.9459  +0.9136  +0.0324  0.006
  8    4    1  global  0.12  0.5960  +0.7337  +0.5944  +0.1393  0.027
  8    4    1  global  0.25  0.1062  +0.2676  +0.1026  +0.1649  0.054
  8    4    1  global  0.50  0.0014  -0.0471  -0.0025  -0.0446  0.058
  8    4    1    gate  0.05  0.9951  +0.9959  +0.9950  +0.0009  0.000
  8    4    1    gate  0.12  0.9722  +0.9785  +0.9721  +0.0064  0.002
  8    4    1    gate  0.25  0.8874  +0.9223  +0.8869  +0.0354  0.009
