self-tests passed (diagonal, deep limit, MC pipeline: exact 2.4120e-04 vs MC 2.4073e-04 +/- 2.8e-06)
S3 weights ready [0 s]
  geometry     t  E3/Haar3 sum ln(1+Cij)   Delta3
 collinear  0.05    1.4085        0.3700  -0.0275
 collinear  0.10    1.4099        0.3669  -0.0234
 collinear  0.15    1.3728        0.3257  -0.0089
 collinear  0.20    1.2740        0.2416  +0.0006
 collinear  0.30    1.0754        0.0857  -0.0130
  triangle  0.05    1.3968        0.3610  -0.0268
  triangle  0.10    1.3967        0.3590  -0.0249
  triangle  0.15    1.3887        0.3469  -0.0185
  triangle  0.20    1.3625        0.3162  -0.0068
  triangle  0.30    1.2308        0.2030  +0.0047
